rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas,rc_deg,rt_deg,all_names
279,IC_4756,279.627468,5.437089,36.313937,5.345,445.7,8.2451,718,3.463,0.44523,0.6228,8.923,0.36,1.2843,-4.9682,2.1075,0.417877,1.576162,"Collinder_386,Graff_1,IC_4756,LISC-III_3449,MWSC_2967,Melotte_210,OCL_94,Theia_1115"
280,Alessi_10,301.232293,-10.528747,31.622904,-21.05,424.7,8.1404,194,3.291,0.44399,0.6193,8.027,0.338,1.4536,-7.9018,2.2186,0.262729,2.450613,"Alessi_10,LeDrew_3,Theia_535"
281,Roslund_7,313.212849,37.920237,79.882184,-4.276,1216.5,10.4256,266,9.352,0.44044,0.6094,8.243,0.94,1.7067,-0.4056,0.7756,0.608866,1.288272,"MWSC_3416,OCL_187,Roslund_7,Theia_2375"
282,UPK_445,92.353724,-15.039355,221.946481,-15.96,661.3,9.102,123,5.014,0.4344,0.5928,6.866,0.617,-2.5381,1.4354,1.4764,0.375470,1.779594,"Theia_83,UBC_446,UPK_445"
283,CWNU_1083,126.135502,-41.018274,259.024771,-1.943,338.3,7.6462,100,2.559,0.43346,0.5903,6.885,0.57,-7.1375,10.1091,2.93,0.728817,1.193092,CWNU_1083
284,CWNU_136,311.219095,56.900369,93.844762,8.692,876.6,9.7141,107,6.61,0.43203,0.5864,6.967,1.399,-2.3581,-4.9699,1.0905,0.817771,0.817771,"CWNU_136,CWNU_521"
285,UPK_436,100.328053,-7.998486,218.927071,-5.876,802.6,9.5226,127,6.04,0.43117,0.584,7.164,0.207,-4.1307,0.6493,1.1829,0.580591,1.283178,UPK_436
286,Theia_1798,85.498286,30.226428,178.487906,0.005105,1711.3,11.1666,119,12.815,0.42904,0.5783,7.731,2.082,0.4376,-2.4494,0.5346,0.826274,0.826274,"CWNU_126,Theia_1798"
287,HSC_478,298.537712,21.017861,58.719498,-3.495,1115.4,10.2371,105,8.348,0.4288,0.5776,7.505,0.873,-0.4989,-4.5187,0.847,0.752857,0.752857,HSC_478
288,NGC_752,29.160066,37.792718,136.90704,-23.3,406.3,8.044,442,3.014,0.42513,0.5678,9.152,0.066,9.7718,-11.824,2.2693,0.347659,1.619728,"Collinder_23,MWSC_151,Melotte_12,NGC_752,OCL_363"
